"Enseigne","Nombre d'établissement"
"LE SEVRES",2
"LES ENFANTS TERRIBLES",2
"LES ECURIES",2
"LES DEUX MARCHES",2
"LES DELICES D AVA",2
"LES COCOTTES",2
"LES CASCADES",2
"L'ESCARGOT",2
"L'ESCAPADE",2
"L'ESCALIER",2
"LES BARIOLES DE MAUD",2
"LES BANCS PUBLICS",2
"LES ASSOCIES",2
"LES ARTISTES",2
"LES ANGES",2
"LES AMIS DES MESSINA",2
"LE SALON",2
"LE SAINT MARTIN",2
"LE SAINT DENIS",2
"LES 4 SAISONS",2
"LE RUGBY",2
"LE REVEIL",2
"LE REPAIRE DE CARTOUCHE",2
"LE RENDEZ-VOUS",2
"LE RENCARD",2
"LE RENARD",2
"LE RELAIS DE VENISE",2
"LE REGAL",2
"LE REFLET",2
"LE P'TIT RESTO",2
"LE PROGRES",2
"LE PRESTIGE",2
"LE POULBOT",2
"LE POTAGER DE CHARLOTTE",2
"LE PLOMB DU CANTAL",2
"LE PLAISIR",2
"LE PETIT THAI",2
"LE PETIT GOURMAND",2
"LE PETIT CAFE",2
"LE PETIT BLEU",2
"LE PETIT BISTROT",2
"LE PETIT 17",2
"LE PERIGORD",2
"LE PERA",2
"LE PAVILLON",2
"LE PATIO",2
"LE PASTEUR",2
"LE PASSAGE ST HONORE",2
"LE PARVIS",2
"LE PARIS",2
"LE PANIER",2
"LE PALANQUIN",2
"L'ENTREPOT",2
"L'ENTRE DEUX",2
"LE MONTE CRISTO",2
"LEMONI CAFE",2
"LE MONACO",2
"LE MODERNE",2
"LE MEKONG",2
"LE MAXIMILIEN",2
"LE MARRAKECH",2
"LE LOTUS BLEU",2
"LE GLOBE",2
"LE GAMBETTA",2
"LE FRANKLIN",2
"LE FLEURUS",2
"LE FAVORI",2
"LE FAUBOURG",2
"LE DUC",2
"LE DIAMANT",2
"LE DERBY",2
"LE DEPART",2
"LE DELICE",2
"LE DANUBE",2
"LE DAILY SYRIEN",2
"LE CONGRES",2
"LE COMPTOIR BELGE",2
"LE COLIBRI",2
"L'ECHIQUIER",2
"LE CHAT NOIR",2
"LE CHAPTAL",2
"LE CENTENAIRE",2
"LE CARLADEZ",2
"LE CAMION QUI FUME",2
"LE CALUMET",2
"LE CAFE",2
"LE CADRE NOIR",2
"LE CABANON",2
"LE BRASIER",2
"LE BOYARD",2
"LE BOUQUET",2
"LE BOUDOIR",2
"LE BOSQUET",2
"LE BOSPHORE",2
"LE BISTROT",2
"LE BIENVENU",2
"LE BEAUTIGNOLLE",2
"LE BAROUF",2
"LE BARBICHE",2
"LE BARAV",2
"LE BARATIN",2
"LE BAR",2
"LE BABYLONE",2
"LE 82",2
"LE 17.45",2
"LE 138",2
"LE 122",2
"L.B.F.",2
"LAZZI",2
"LAZARE",2
"LA VOIE LACTEE",2
"LA VIOLETTE",2
"LA VIE EN FRUITS",2
"LA VERRIERE",2
"L'AUBRAC",2
"L'ATTIRAIL",2
"LA TRAVERSEE DE PARIS",2
"L'ATLAS",2
"L'ATLANTIQUE",2
"L'ATELIER SAISONNIER",2
"L'ATELIER DE JOEL ROBUCHON",2
"LA TABLE D'AKIHIRO",2
"LA SUCCURSALE",2
"LA STELLA",2
"L'AS DE TREFLE",2
"LA SCARPETTA",2
"LA SCALA",2
"LA RUCHE",2
"L'ARTISAN LIBANAIS",2
"LA POULE AU POT",2
"LA PLAGE",2
"LA PIAZZETTA",2
"LA PETITE TABLE",2
"LA PERLA",2
"LA PAUSE LIBANAISE",2
"LA PATE A NOUILLES",2
"LA PALMERAIE",2
"LAO WASANA",2
"LAO VIET",2
"L AMIRAL",2
"LA MEDINA",2
"LA MARMITE",2
"LA MARINE",2
"LA MAMMA",2
"LA MAISON BLANCHE",2
"LA LIBERTE",2
"L'ALCHIMISTE",2
"LAKSHMI",2
"LAI ZE",2
"L'AILE OU LA CUISSE",2
"LAHORE",2
"LA HAUT",2
"LA GROSSE CAISSE",2
"LA GRILLE",2
"LA GITANE",2
"LA FORGE",2
"LA FONTAINE DE MARS",2
"LA FINE MOUSSE",2
"LA FERME",2
"LA FA BRICK",2
"LA FABBRICA",2
"L'ADRESSE_",2
"LA DOLCE VITA",2
"LA DINETTE DE LOUIS",2
"LADESS",2
"LA CRIEE",2
"LA COUPOLE",2
"LA CORDONNERIE",2
"LA COMMUNE",2
"LA COMEDIA",2
"LA CITADELLE",2
"LA CIGALE",2
"LA CIDRERIE",2
"LA CHOPE",2
"LA CEVICHERIA",2
"LA CAPPADOCE",2
"LA CANTINE LIBANAISE",2
"LA CANTINE DE SAM",2
"LA CALECHE",2
"LA CAFETE",2
"KYUPOKE",2
"KYOBASHI",2
"KUNITORAYA",2
"KRUGEN",2
"KRISHNA BHAVAN",2
"KRISHNA",2
"KOUS",2
"KOREAN BARBECUE",2
"KOOK",2
"KOKODAK",2
"KOI",2
"KODAMA",2
"KIOSQUE ETHIQUE (KIOSQUE)",2
"KING MARCEL",2
"KING FOOD",2
"KIEZ",2
"KEMER",2
"KARAAGE-YA",2
"KANOUN",2
"JUICE LAB",2
"JUDY",2
"JOYEUX",2
"JOLIS MOMES",2
"JOE & THE JUICE",2
